,poiID,poiCat,poiLat,poiLon,relevance_a,relevance_h,isView
0,0,City precincts,-37.82167,144.96778,1,1.666666667,f
1,1,City precincts,-37.817,144.946,1,1.666666667,f
2,2,City precincts,-37.8119,144.973,1,1,f
3,3,City precincts,-37.79972,144.96694,1.666666667,1.666666667,f
4,4,City precincts,-37.80778,144.96333,3,1,f
5,5,City precincts,-37.829,144.957,1,1,f
6,6,City precincts,-37.81667,144.98333,1.333333333,3,f
7,7,City precincts,-37.7963,144.9614,3.666666667,1,f
8,8,Shopping,-37.81583,144.96444,2.666666667,1.666666667,t
9,9,Shopping,-37.8139,144.96452,2.666666667,1.666666667,t
10,10,Shopping,-37.8175639,144.9903278,1.666666667,2.333333333,f
11,11,Shopping,-37.79833,144.978472,1.666666667,1.666666667,f
12,12,Shopping,-37.84083,144.99528,1.666666667,1,f
13,13,Shopping,-37.816583,144.9655,2.666666667,1.666666667,t
14,14,Shopping,-37.8168,144.9622,1.666666667,2.666666667,f
15,15,Shopping,-37.8175,144.96583,2,3.666666667,t
16,16,Shopping,-37.8096,144.961,1.666666667,2.666666667,f
17,17,Shopping,-37.81694,144.96556,2,3.666666667,t
18,18,Shopping,-37.8151,144.9641,2,3,t
19,19,Shopping,-37.81056,144.96,1.666666667,2.666666667,f
20,20,Shopping,-37.847414,144.993503,1.666666667,1,f
21,21,Shopping,-37.806966,144.956693,2.333333333,1,f
22,22,Shopping,-37.81,144.9652,3.333333333,1,t
23,23,Shopping,-37.8145,144.9641,2.666666667,1.333333333,t
24,24,Shopping,-37.8064,144.963,1.666666667,2.333333333,f
25,25,Entertainment,-37.822324,144.960099,4.666666667,1.666666667,t
26,26,Entertainment,-37.868036,144.976369,4,1,t
27,27,Entertainment,-37.821044,144.958017,1.666666667,3,t
28,28,Entertainment,-37.784762,144.952095,4.666666667,1,t
29,29,Public galleries,-37.826497,144.967014,3.333333333,1,t
30,30,Public galleries,-37.7975,144.964111,2.666666667,1.666666667,t
31,31,Public galleries,-37.822595,144.968634,5,1,t
32,32,Institutions,-37.81384,144.963028,1.333333333,3.333333333,f
33,33,Institutions,-37.827939,144.976939,4.333333333,1,t
34,34,Institutions,-37.8297,144.9755,1.333333333,3,t
35,35,Institutions,-37.815145,144.966777,3.666666667,1.666666667,t
36,36,Institutions,-37.80806,144.96528,2.666666667,1,t
37,37,Institutions,-37.8087,144.966,1,1.333333333,f
38,38,Institutions,-37.812153,144.956794,1,2,t
39,39,Institutions,-37.813153,144.974121,3.333333333,1.333333333,t
40,40,Institutions,-37.811055,144.97329,3,2,t
41,41,Institutions,-37.809801,144.964787,3.666666667,1,t
42,42,Institutions,-37.814132,144.957932,2.666666667,1.333333333,f
43,43,Institutions,-37.827391,144.970447,1.666666667,1.666666667,f
44,44,Structures,-37.82028,144.96833,4.333333333,2.666666667,t
45,45,Structures,-37.82167,144.96444,3,1,t
46,46,Structures,-37.8256,144.9541,3,2.333333333,t
47,47,Structures,-37.8110723,144.9368763,1.333333333,1.666666667,t
48,48,Structures,-37.804728,144.971225,4,1.666666667,t
49,49,Structures,-37.830434,144.973258,4.333333333,1.666666667,t
50,50,Structures,-37.816853,144.967384,3,3,t
51,51,Structures,-37.81,144.97611,3.666666667,2.333333333,t
52,52,Sports stadiums,-37.82528,144.98389,3,1.666666667,f
53,53,Sports stadiums,-37.81639,144.9475,2.333333333,1,f
54,54,Sports stadiums,-37.79028,144.9125,3.333333333,1,t
55,55,Sports stadiums,-37.821112,144.97741,3,1.666666667,f
56,56,Sports stadiums,-37.82278,144.98167,2.333333333,2.333333333,f
57,57,Sports stadiums,-37.82,144.98333,3.333333333,1.666666667,f
58,58,Sports stadiums,-37.84972,144.96833,3,1,f
59,59,Sports stadiums,-37.84667,144.96611,1,1,f
60,60,Sports stadiums,-37.84028,144.965,1.666666667,1,t
61,61,Sports stadiums,-37.8123777,144.9355674,1.666666667,1,t
62,62,Sports stadiums,-37.82472,144.98111,1,1.666666667,f
63,63,Sports stadiums,-37.82167,144.97833,3,1.666666667,f
64,64,Sports stadiums,-37.97,145.03,2.333333333,1,f
65,65,Sports stadiums,-37.78389,144.96167,1.666666667,1.666666667,f
66,66,Parks and spaces,-37.846,144.97,1.666666667,1,t
67,67,Parks and spaces,-37.82037,144.971938,3.333333333,3,t
68,68,Parks and spaces,-37.81833,144.9725,3,3.333333333,t
69,69,Parks and spaces,-37.80611,144.97028,2.666666667,2.333333333,t
70,70,Parks and spaces,-37.816,144.967,2.333333333,3.666666667,t
71,71,Parks and spaces,-37.817798,144.968714,4.333333333,4.666666667,t
72,72,Parks and spaces,-37.8125641,144.9803925,4,2.333333333,t
73,73,Parks and spaces,-37.8105,144.9544,3.333333333,1,t
74,74,Parks and spaces,-37.8282598,144.9775815,2.666666667,2.333333333,t
75,75,Parks and spaces,-37.8218,144.9716,3.333333333,3,t
76,76,Parks and spaces,-37.8334,144.98033,1.333333333,1.666666667,t
77,77,Parks and spaces,-37.7901833,144.9511667,2,2.333333333,f
78,78,Parks and spaces,-37.814158,144.976194,3,2.333333333,t
79,79,Parks and spaces,-37.8180437,144.9852312,1,1.666666667,f
80,80,Transport,-37.8194778,144.932125,1,2.333333333,f
81,81,Transport,-37.819744,144.968516,3,4.333333333,f
82,82,Transport,-37.818078,144.96681,2.666666667,5,f
83,83,Transport,-37.67333,144.84333,1,3.666666667,f
84,84,Transport,-37.81,144.96278,1.666666667,5,f
85,85,Transport,-37.8184,144.9524,1.333333333,4.333333333,f
86,86,Transport,-37.82944,144.89806,1,2.333333333,f
87,87,Transport,-37.85194,144.90833,1,1,f